text,label
Go until jurong point crazy Available only in bugis n great world la e buffet Cine there got amore wat,1
Ok lar Joking wif u oni,1
Free entry in number a wkly comp to win FA Cup final tkts number st May number Text FA to number to receive entry question(std txt rate)TCs apply number over number s,0
U dun say so early hor U c already then say,1
Nah I dont think he goes to usf he lives around here though,1
FreeMsg Hey there darling its been number weeks now and no word back! Id like some fun you up for it still? Tb ok! XxX std chgs to send currency number to rcv,0
Even my brother is not like to speak with me. They treat me like aids patent.,1
As per your request Melle Melle (Oru Minnaminunginte Nurungu Vettam) has been set as your callertune for all Callers. Press number to copy your friends Callertune,1
WINNER!! As a valued network customer you have been selected to receivea currency number prize reward! To claim call number Claim code KL number Valid number hours only.,0
Had your mobile number months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on number,0
Im gonna be home soon and i dont want to talk about this stuff anymore tonight k? Ive cried enough today.,1
SIX chances to win CASH! From number to number number pounds txt CSH number and send to number Cost number pday number days number TsandCs apply Reply HL number info,0
URGENT! You have won a number week FREE membership in our currency number number Prize Jackpot! Txt the word: CLAIM to No: number TC www.dbuk.net LCCLTD POBOX number LDNW number A number RW number,0
Ive been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,1
I HAVE A DATE ON SUNDAY WITH WILL!!,1
XXXMobileMovieClub: To use your credit click the WAP link in the next txt message or click here http:wap. xxxmobilemovieclub.com?nQJKGIGHJJGCBL,0
Oh k im watching here emoji,1
Eh u remember how number spell his name Yes i did. He v naughty make until i v wet.,1
Fine if thats the way u feel. Thats the way its gota b,1
England v Macedonia dont miss the goalsteam news. Txt ur national team to number eg ENGLAND to number Try:WALES SCOTLAND number txt number POBOXox number W number WQ number,0
Is that seriously how you spell his name?,1
Im going to try for number months ha ha only joking,1
So pay first lar Then when is da stock comin,1
Aft i finish my lunch then i go str down lor. Ard number smth lor. U finish ur lunch already?,1
Ffffffffff. Alright no way I can meet up with you sooner?,1
Just forced myself to eat a slice. Im really not hungry tho. This sucks. Mark is getting worried. He knows Im sick when I turn down pizza. Lol,1
Lol your always so convincing.,1
Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your moms left over dinner ? Do you feel my Love ?,1
Im back amp were packing the car now Ill let you know if theres room,1
Ahhh. Work. I vaguely remember that! What does it feel like? Lol,1
Wait thats still not all that clear were you not sure about me being sarcastic or that thats why x doesnt want to live with us,1
Yeah he got in at number and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till number ! But we wont go there! Not doing too badly cheers. You?,1
K tell me anything about you.,1
For fear of fainting with the of all that housework you just did? Quick have a cuppa,1
Thanks for your subscription to Ringtone UK your mobile will be charged currency number month Please confirm by replying YES or NO. If you reply NO you will not be charged,0
Yup Ok i go home look at the timings then i msg again Xuhui going to learn on number nd may too but her lesson is at number am,1
Oops Ill let you know when my roommates done,1
I see the letter B on my car,1
Anything lor U decide,1
Hello! Hows you and how did saturday go? I was just texting to see if youd decided to do anything tomo. Not that im trying to invite myself or anything!,1
Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,1
Did I forget to tell you ? I want you I need you I crave you But most of all I love you my sweet Arabian steed Mmmmmm Yummy,1
number Rodger Burns MSG We tried to call you re your reply to our sms for a free nokia mobile free camcorder. Please call now number for delivery tomorrow,0
WHO ARE YOU SEEING?,1
Great! I hope you like your man well endowed. I am ltgt inches,1
No calls messages missed calls,1
Didnt you get hep b immunisation in nigeria.,1
Fair enough anything going on?,1
Yeah hopefully if tyler cant do it I could maybe ask around a bit,1
U dont know how stubborn I am. I didnt even want to go to the hospital. I kept telling Mark Im not a weak sucker. Hospitals are for weak suckers.,1
What you thinked about me. First time you saw me in class.,1
A gram usually runs like ltgt a half eighth is smarter though and gets you almost a whole second gram for ltgt,1
K fyi x has a ride early tomorrow morning but hes crashing at our place tonight,1
Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it since i was doing the best i could and you always seemed so happy about the cave. Im sorry I didnt and dont have more to give. Im sorry i offered. Im sorry your room was so embarassing.,1
SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,0
Do you know what Mallika Sherawat did yesterday? Find out now ltURLgt,1
Congrats! number year special cinema pass for number is yours. call number now! C Suprman V Matrix number StarWars number etc all number FREE! bx number ip number number we. number pm. Dont miss out!,0
Sorry Ill call later in meeting.,1
Tell where you reached,1
Yes gauti and sehwag out of odi series.,1
Your gonna have to pick up a currency number burger for yourself on your way home. I cant even move. Pain is killing me.,1
Ha ha ha good joke. Girls are situation seekers.,1
Its a part of checking IQ,1
Sorry my roommates took forever it ok if I come by now?,1
Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,1
As a valued customer I am pleased to advise you that following recent review of your Mob No. you are awarded with a currency number Bonus Prize call number,0
Today is song dedicated day Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me,1
Urgent UR awarded a complimentary trip to EuroDisinc Trav AcoEntry number Or currency number To claim txt DIS to number number number currency number (moreFrmMob. ShrAcomOrSglSuplt) number LS number number AJ,0
Did you hear about the new Divorce Barbie? It comes with all of Kens stuff!,0
I plane to give on this month end.,1
Wah lucky man Then can save money Hee,1
Finished class where are you.,1
HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,1
K k emoji where are you?how did you performed?,1
U can call me now,1
I am waiting machan. Call me once you free.,1
Thats cool. i am a gentleman and will treat you with dignity and respect.,1
I like you peoples very much emoji but am very shy pa.,1
Does not operate after ltgt or what,1
Its not the same here. Still looking for a job. How much do Tas earn there.,1
Sorry Ill call later,1
K. Did you call me just now ah?,1
Ok i am on the way to home hi hi,1
You will be in the place of that man,1
Yup next stop.,1
I call you later dont have network. If urgnt sms me.,1
For real when u getting on yo? I only need number more tickets and one more jacket and Im done. I already used all my multis.,1
Yes I started to send requests to make it but pain came back so Im back in bed. Double coins at the factory too. I gotta cash in all my nitros.,1
Im really not up to it still tonight babe,1
Ela kano.il download come wen ur free,1
Yeah do! Dont stand to close tho youll catch something!,1
Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i havent done any of y stuff number moro and that includes all my time sheets and that. Sorry.,1
Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum number Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,1
Please call our customer service representative on number number number between number am number pm as you have WON a guaranteed currency number cash or currency number prize!,0
Havent planning to buy later. I check already lido only got number show in e afternoon. U finish work already?,1
Your free ringtone is waiting to be collected. Simply text the password MIX to number to verify. Get Usher and Britney. FML PO Box number MK number number H. number Ppw number,0
Watching telugu movie wat abt u?,1
i see. When we finish we have loads of loans to pay,1
Hi. Wk been ok on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?,1
I see a cup of coffee animation,1
Please dont text me anymore. I have nothing else to say.,1
Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,1
Im still looking for a car to buy. And have not gone number the driving test yet.,1
As per your request Melle Melle (Oru Minnaminunginte Nurungu Vettam) has been set as your callertune for all Callers. Press number to copy your friends Callertune,1
wow. Youre right! I didnt mean to do that. I guess once i gave up on boston men and changed my search location to nyc something changed. Cuz on my signin page it still says boston.,1
Umma my life and vava umma love you lot dear,1
Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,1
Aight Ill hit you up when I get some cash,1
How would my ip address test that considering my computer isnt a minecraft server,1
I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes,1
Dont worry. I guess hes busy.,1
What is the plural of the noun research?,1
Going for dinner.msg you after.,1
Im ok wif it cos i like number try new things. But i scared u dun like mah. Cos u said not too loud.,1
GENT! We are trying to contact you. Last weekends draw shows that you won a currency number prize GUARANTEED. Call number Claim Code K number Valid number hrs only. number ppm,0
Wa ur openin sentence very formal Anyway im fine too juz tt im eatin too much n puttin on weight Haha So anythin special happened?,1
As I entered my cabin my PA said Happy Bday Boss !!. I felt special. She askd me number lunch. After lunch she invited me to her apartment. We went there.,1
You are a winner U have been specially selected number receive currency number or a number holiday (flights inc) speak to a live operator number claim number pmin ( number ),0
Goodo! Yes we must speak friday eggpotato ratio for tortilla needed!,1
Hmm my uncle just informed me that hes paying the school directly. So pls buy food.,1
PRIVATE! Your number Account Statement for number shows number unredeemed Bonus Points. To claim call number Identifier Code: number Expires,0
URGENT! Your Mobile No. was awarded currency number Bonus Caller Prize on number number number This is our final try to contact U! Call from Landline number BOX number WR number C number PPM,0
here is my new address applespairsall that malarky,1
Todays Voda numbers ending number are selected to receive a currency number award. If you have a match please call number quoting claim code number standard rates app,0
I am going to sao mu today. Will be done only at number,1
predict wat time ll finish buying?,1
Good stuff will do.,1
Just so that you knowyetunde hasnt sent money yet. I just sent her a text not to bother sending. So its over you dont have to involve yourself in anything. I shouldnt have imposed anything on you in the first place so for that i apologise.,1
Are you there in room.,1
HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,1
K k emoji how much does it cost?,1
Im home.,1
Dear will call Tmorrow.pls accomodate.,1
First answer my question.,1
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to number currency number SP:Tyrone,0
Want number get laid tonight? Want real Dogging locations sent direct number ur mob? Join the UKs largest Dogging Network bt Txting GRAVEL to number ! Nt. ec number a. number p.msg number p,0
I only haf msn. Its yijuehotmail.com,1
He is there. You call and meet him,1
No no. I will check all rooms befor activities,1
Youll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: number If u get nothing u must Age Verify with yr network try again,0
Got c I lazy to type I forgot in lect I saw a pouch but like not v nice,1
K text me when youre on the way,1
Sir Waiting for your mail.,1
A swt thought: Nver get tired of doing little things number lovable persons Coz somtimes those little things occupy d biggest part in their Hearts Gud ni number,1
I know you are. Can you pls open the back?,1
Yes see ya not on the dot,1
Whats the staff name who is taking class for us?,1
FreeMsg Why havent you replied to my text? Im Randy sexy female and live local. Luv to hear from u. Netcollex Ltd number p per msg reply Stop to end,0
Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,1
K i deleted my contact that why?,1
Sindu got job in birla soft,1
The wine is flowing and im i have nevering,1
Yup i thk cine is better cos no need number go down number plaza mah.,1
Ok Ur typical reply,1
As per your request Melle Melle (Oru Minnaminunginte Nurungu Vettam) has been set as your callertune for all Callers. Press number to copy your friends Callertune,1
You are everywhere dirt on the floor the windows even on my shirt. And sometimes when i open my mouth you are all that comes flowing out. I dream of my world without you then half my chores are out too. A time of joy for me lots of tv shows i.ll see. But i guess like all things you just must exist like rain hail and mist and when my time here is done you and i become one.,1
Aaooooright are you at work?,1
Im leaving my house now,1
Hello my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?,1
Customer service annoncement. You have a New Years delivery waiting for you. Please call number now to arrange delivery,0
You are a winner U have been specially selected number receive currency number cash or a number holiday (flights inc) speak to a live operator number claim number,0
Keep yourself safe for me because I need you and I miss you already and I envy everyone that sees you in real life,1
New car and house for my parents. emoji i have only new job in hand emoji,1
Im so in love with you. Im excited each day i spend with you. You make me so happy.,1
PLS STOP bootydelious ( number F) is inviting you to be her friend. Reply YES number or NO number See her: www.SMS.acubootydelious STOP? Send STOP FRND to number,0
BangBabes Ur order is on the way. U SHOULD receive a Service Msg number download UR content. If U do not GoTo wap. bangb. tv on UR mobile internetservice menu,0
I place all ur points on e cultures module already.,1
URGENT! We are trying to contact you. Last weekends draw shows that you have won a currency number prize GUARANTEED. Call number Claim code S number Valid number hrs only,0
Hi frnd which is best way to avoid missunderstding wit our beloved ones?,1
Great escape. I fancy the bridge but needs her lager. See you tomo,1
Yes emoji it completely in out of form emoji clark also utter waste.,1
Sir I need AXIS BANK account no and bank address.,1
Hmmm Thk sure got time to hop ard Ya can go number free abt Muz call u to discuss liao,1
What time you coming down later?,1
Bloody hell cant believe you forgot my surname Mr . Ill give u a clue its spanish and begins with m,1
Well im gonna finish my bath now. Have a good fine night.,1
Let me know when youve got the money so carlos can make the call,1
U still going to the mall?,1
Turns out my friends are staying for the whole show and wont be back til ltgt so feel free to go ahead and smoke that currency ltgt worth,1
Text her. If she doesnt reply let me know so i can have her log in,1
Hi! You just spoke to MANEESHA V. Wed like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,1
You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr number weekend,1
Lol no. U can trust me.,1
ok. I am a gentleman and will treat you with dignity and respect.,1
He will you guys close?,1
Going on nothing great.bye,1
Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Wheres my boytoy now ? Does he miss me ?,1
Haha awesome be there in a minute,1
Please call our customer service representative on FREEPHONE number number number between number am number pm as you have WON a guaranteed currency number cash or currency number prize!,0
Have you got Xmas radio times. If not i will get it now,1
I jus reached home. I go bathe first. But my sis using net tell u when she finishes k,1
Are you unique enough? Find out from number th August. www.areyouunique.co.uk,0
Im sorry. Ive joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.,1
Hi emoji finally i completed the course emoji,1
It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,1
How are you doing? Hope youve settled in for the new school year. Just wishin you a gr number day,1
Gud mrng dear hav a nice day,1
Did u got that persons story,1
is your hamster dead? Hey so tmr i meet you at number pm orchard mrt?,1
Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. emoji xxx,1
Found it ENC ltgt where you at?,1
I sent you ltgt bucks,1
Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,1
Your account has been refilled successfully by INR ltDECIMALgt . Your KeralaCircle prepaid account balance is Rs ltDECIMALgt . Your Transaction ID is KR ltgt .,1
Goodmorning sleeping ga.,1
U call me alter at number ok.,1
say until like dat i dun buy ericsson oso cannot oredi lar,1
As I entered my cabin my PA said Happy Bday Boss !!. I felt special. She askd me number lunch. After lunch she invited me to her apartment. We went there.,1
Aight yo dats straight dogg,1
You please give us connection today itself before ltDECIMALgt or refund the bill,1
Both emoji i shoot big loads so get ready!,1
Whats up bruv hope you had a great break. Do have a rewarding semester.,1
Home so we can always chat,1
K emoji k emoji good emoji study well.,1
Yup How noe leh,1
Sounds great! Are you home now?,1
Finally the match heading towards draw as your prediction.,1
Tired. I havent slept well the past few nights.,1
Easy ah?sen got selected means its good,1
I have to take exam with march number,1
Yeah you should. I think you can use your gt atm now to register. Not sure but if theres anyway i can help let me know. But when you do be sure you are ready.,1
Ok no prob. Take ur time.,1
There is os called ubandu which will run without installing in hard disk you can use that os to copy the important files in system and give it to repair shop,1
Sorry Ill call later,1
U say leh Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,1
number New Mobiles from number MUST GO! Txt: NOKIA to No: number collect yours today!From ONLY currency number www number tc.biz number optout number gbpmtmsg number,0
Would really appreciate if you call me. Just need someone to talk to.,1
Will u meet ur dream partner soon? Is ur career off number a flyng start? number find out free txt HORO followed by ur star sign e. g. HORO ARIES,0
Hey company elama po mudyadhu.,1
Life is more strict than teacher Bcoz Teacher teaches lesson amp then conducts exam But Life first conducts Exam amp then teaches Lessons. Happy morning. . .,1
Dear good morning now only i am up,1
Get down in gandhipuram and walk to cross cut road. Right side ltgt street road and turn at first right.,1
Dear we are going to our rubber place,1
Sorry battery died yeah Im here,1
Yes emoji here tv is always available in work place,1
Text meet someone sexy today. U can find a date or even flirt its up to U. Join number just number p. REPLY with NAME AGE eg Sam number number msg recdthirtyeight pence,0
I have printed it oh. So ltgt come upstairs,1
Or ill be a little closer like at the bus stop on the same street,1
Where are you?when wil you reach here?,1
New Theory: Argument wins d SITUATION but loses the PERSON. So dont argue with ur friends just . . . kick them amp say Im always correct.!,1
U number have a secret admirer who is looking number make contact with Ufind out who they Rreveal who thinks UR so specialcall on number,0
Tomarrow final hearing on my laptop case so i cant.,1
PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,1
Okay. No no just shining on. That was meant to be signing but that sounds better.,1
Although i told u dat im into baig face watches now but i really like e watch u gave cos its fr u. Thanx number everything dat uve done today im touched,1
U dont remember that old commercial?,1
Too late. I said i have the website. I didnt i have or dont have the slippers,1
I asked you to call him now ok,1
Kallis wont bat in number nd innings.,1
It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.,1
Congratulations ur awarded number of CD vouchers or number gift guaranteed Free entry number number wkly draw txt MUSIC to number TnCs www.Ldew.com number win number ppmx number age number,0
Ranjith cal drpd Deeraj and deepak number min hold,1
Wen ur lovable bcums angry wid u dnt take it seriously Coz being angry is d most childish n true way of showing deep affection care n luv! kettoda manda Have nice day da.,1
What you doing?how are you?,1
Ups which is number days also and the shipping company that takes number wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.,1
Im back lemme know when youre ready,1
Dont necessarily expect it to be done before you get back though because Im just now headin out,1
Mmm so yummy babe Nice jolt to the suzy,1
Where are you lover ? I need you,1
We tried to contact you re your reply to our offer of a Video Handset? number anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call number NOW,0
Im parked next to a MINI!!!! When are you coming in today do you think?,1
Yup,1
Anyway im going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.,1
MY NO. IN LUTON number RING ME IF UR AROUND! H,1
Hey I am really horny want to chat or see me naked text hot to number text charged at number pm to unsubscribe text stop number,0
Why you Dint come with us.,1
Same. Wana plan a trip sometme then,1
Not sure yet still trying to get a hold of him,1
Ur ringtone service has changed! number Free credits! Go to club number mobiles.com to choose content now! Stop? txt CLUB STOP to number number pwk Club number PO Box number MK number number WT,0
The evo. I just had to download flash. Jealous?,1
Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.,0
Come to mu were sorting out our narcotics situation,1
Night has ended for another day morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay.,1
HMV BONUS SPECIAL number pounds of genuine HMV vouchers to be won. Just answer number easy questions. Play Now! Send HMV to number More info:www number percentreal.com,0
Usf I guess might as well take number car,1
No objection. My bf not coming.,1
Thanx,1
Tell rob to mack his gf in the theater,1
Awesome Ill see you in a bit,1
Just sent it. So what type of food do you like?,1
All done? All handed in? Celebrations in full swing yet?,1
You got called a tool?,1
Wen u miss someone the person is definitely special for u But if the person is so special why to miss them just Keepintouch gdeve,1
Ok. I asked for money how far,1
Okie,1
Yeah I think my usual guys still passed out from last night if you get ahold of anybody let me know and Ill throw down,1
K I might come by tonight then if my class lets out early,1
Ok,1
hi baby im cruisin with my girl friend what r u up number ? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,1
My life Means a lot to me Not because I love my life But because I love the people in my life The world calls them friends I call them my World emoji Ge emoji,1
Dearshall mail tonite.busy in the streetshall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.,1
Hey you told your name to gautham ah?,1
Haf u found him? I feel so stupid da v cam was working.,1
Oops. number got that bit.,1
Are you this much buzy,1
I accidentally deleted the message. Resend please.,1
TMobile customer you may now claim your FREE CAMERA PHONE upgrade a pay go sim card for your loyalty. Call on number number number Offer ends number thFeb.TCs apply,0
Unless its a situation where YOU GO GURL would be more appropriate,1
Hurt me Tease me Make me cry But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U HAVE A NICE DAY BSLVYL,1
I cant pick the phone right now. Pls send a message,1
Need a coffee run tomo?Cant believe its that time of week already,1
Awesome I remember the last time we got somebody high for the first time with diesel :V,1
Shit that is really shocking and scary cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night save on taxi?,1
Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight?,1
He is a womdarfull actor,1
SMS. ac Blind Date number U!: Rodds number is number m from Aberdeen United Kingdom. Check Him out http:img. sms. acWicmb number cktz number r number ! number no Blind Dates send HIDE,0
Yup From what i remb I think should be can book,1
Jos ask if u wana meet up?,1
Lol yes. Our friendship is hanging on a thread cause u wont buy stuff.,1
TheMob Check out our newest selection of content Games Tones Gossip babes and sport Keep your mobile fit and funky text WAP to number,0
Where are the garage keys? They arent on the bookshelf,1
Today is ACCEPT DAY U Accept me as? Brother Sister Lover Dear number Best number Clos number Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,1
Think ur smart ? Win currency number this week in our weekly quiz text PLAY to number now!TCs WinnersClub PO BOX number M number number UZ. number . GBP number week,0
He says hell give me a call when his friends got the money but that hes definitely buying before the end of the week,1
Hi the way I was with u number day is the normal waythis is the real me. UR uniqueI hope I know u number the rest of mylife. Hope u find wot was lost.,1
You made my day. Do have a great day too.,1
K.k emoji advance happy pongal.,1
Hmmm Guess we can go number kb n power yoga Haha dunno we can tahan power yoga anot Thk got lo oso forgot liao,1
Not really dude have no friends im afraid emoji,1
December only! Had your mobile number mths? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on number,0
Coffee cake i guess,1
Merry Christmas to you too babe i love ya kisses,1
Hey Why dont we just go watch x men and have lunch Haha,1
cud u tell ppl im gona b a bit l number cos number buses hav gon past cos they were full im still waitin number number Pete x,1
That would be great. Well be at the Guild. Could meet on Bristol road or somewhere will get in touch over weekend. Our plans take flight! Have a good week,1
No problem. How are you doing?,1
No calls messages missed calls,1
Hi da emoji how is the todays class?,1
Id say thats a good sign but well you know my track record at reading women,1
Cool text me when youre parked,1
Im reading the text i just sent you. Its meant to be a joke. So read it in that light,1
K.k emoji apo k.good movie.,1
Maybe i could get book out tomo then return it immediately ? Or something.,1
