text,label
I am in office emoji whats the matter msg me now.i will call you at break emoji .,0
Gettin rdy to ship comp,0
URGENT We are trying to contact you Last weekends draw shows u have won a currency number prize GUARANTEED Call number Claim code K number Valid number hrs number p pm,1
But you were together so you should be thinkin about him,0
Arun can u transfr me d amt,0
Nvm take ur time.,0
Hey!!! I almost forgot Happy Bday babe ! I love ya!!,0
Water logging in desert. Geoenvironmental implications.,0
Where are you ? What are you doing ? Are yuou working on getting the pc to your moms ? Did you find a spot that it would work ? I need you,0
Is that seriously how you spell his name?,0
Hi darlin did youPhone me? Im atHome if youwanna chat.,0
Im good! I have been thinking about you,0
Im in a movie Collect car oredi,0
What to think no one saying clearly. Ok leave no need to ask her. I will go if she come or not,0
Thk some of em find wtc too far Weiyi not goin E rest i dunno yet R ur goin number dinner den i might b able to join,0
Marvel Mobile Play the official Ultimate Spiderman game ( currency number ) on ur mobile right now. Text SPIDER to number for the game we ll send u a FREE number Ball wallpaper,1
Just curious because my cuz asked what I was up to,0
Oh Icic K lor den meet other day,0
Wah Okie okie Muz make use of e unlimited Haha,0
Horrible u eat macs eat until u forgot abt me already rite U take so long number reply. I thk its more toot than b number so b prepared. Now wat shall i eat?,0
So what about you. What do you remember,0
Ha! I wouldnt say that I just didnt read anything into way u seemed. I dont like number be judgemental .i save that for fridays in the pub!,0
See? I thought it all through,0
Sday only joined.so training we started today emoji,0
I sent lanre fakeyes Eckankar details to the mail box,0
i want to grasp your pretty booty emoji,0
No sir. Thats why i had an number hr trip on the bus last week. Have another audition next wednesday but i think i might drive this time.,0
I.ll hand her my phone to chat wit u,0
Once a fishrman woke early in d mrng. It was very dark. He waited a while amp found a sack ful of stones. He strtd throwin thm in number d sea number pass time. Atlast he had jus number stone sun rose up amp he found out tht those r nt stones those were diamonds. Moral:Dont wake up early in d mrng GOOD night,0
Ha Both of us doing e same thing. But i got tv number watch. U can thk of where number go tonight or u already haf smth in mind,0
Havent found a way to get another app for your phone eh ? Will you go to the net cafe ? Did you take that job? Geeee I need you babe. I crave to see you,0
Dear good morning how you feeling dear,0
OK im waliking ard now Do u wan me number buy anything go ur house?,0
I uploaded mine to Facebook,0
CHEERS FOR CALLIN BABE.SOZI CULDNT TALKBUT I WANNATELL U DETAILS LATER WENWECAN CHAT PROPERLY X,0
DO NOT B LATE LOVE MUM,0
Lol Oh no babe I wont be sliding into your place after midnight but thanks for the invite,0
Hows the champ just leaving glasgow!,0
It should take about ltgt min,0
Ditto. And you wont have to worry about me saying ANYTHING to you anymore. Like i said last night you do whatever you want and ill do the same. Peace.,0
Cold. Dont be sad dear,0
I was slept that time.you there?,0
comin to fetch us oredi,0
Dont forget you can place as many FREE Requests with number stchoice.co.uk as you wish. For more Information call number,1
Bears Pic Nick and Tom Pete and Dick. In fact all types try gay chat with photo upload call number ( number pmin). number stop texts call number,1
I know she called me,0
Ya ok then had dinner?,0
Love isnt a decision its a feeling. If we could decide who to love then life would be much simpler but then less magical,0
Im going number lunch now wif my family then aft dat i go str number orchard lor.,0
Hi if ur lookin number saucy daytime fun wiv busty married woman Am free all next week Chat now number sort time number JANINExx Calls currency number minMobsmoreLKPOBOX number HP number FL,1
SPJanuary Male Sale! Hot Gay chat now cheaper call number National rate from number pmin cheap to number pmin peak! To stop texts call number ( number pmin),1
Are you ok. What happen to behave like this,0
Aight text me when youre back at mu and Ill swing by need somebody to get the door for me,0
FreeMsg: Txt: CALL to No: number claim your reward of number hours talk time to use from your phone now! Subscribe number GBPmnth inc number hrs number stop?txtStop,1
Hey anyway i have to emoji,0
FreeMsg: Claim ur number SMS messagesText OK to number now!Use web number mobile number ur mates etc. Join Txt number com for number pwk. TC BOX number LA number WU. number . Remove txtX or stop,1
Congrats kano whr s the treat maga?,0
Feel like trying kadeem again? :V,0
Happy new years melody!,0
Are you happy baby ? Are you alright ? Did you take that job ? I hope your fine. I send you a kiss to make you smile from across the sea kiss kiss,0
Dad wanted to talk about the apartment so I got a late start omw now,0
I notice you like looking in the shit mirror youre turning into a right freak,0
Forwarded from number Please CALL number immediately as there is an urgent message waiting for you.,1
So when do you wanna gym?,0
Jus finish watching tv U?,0
Wat time liao where still got.,0
Ofcourse I also upload some songs,0
Did you show him and wot did he say or could u not c him number dust?,0
I love working from home emoji,0
Welcome to Select an O number service with added benefits. You can now call our specially trained advisors FREE from your mobile by dialling number,1
University of southern california.,0
They said dun haf passport or smth like dat Or juz send to my email account,0
PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,0
Omg if its not one thing its another. My cat has worms : when does this bad day end?,0
Huh but i cant go number ur house empty handed right?,0
Save yourself the stress. If the person has a dorm account just send your account details and the money will be sent to you.,0
I meant as an apology from me for texting you to get me drugs at ltgt at night,0
S da al r above ltgt,0
What are you doing in langport? Sorry but Ill probably be in bed by number pm. It sucks being ill at xmas! When do you and go number sri lanka?,0
Text meet someone sexy today. U can find a date or even flirt its up to U. Join number just number p. REPLY with NAME AGE eg Sam number number msg recdthirtyeight pence,1
Hey so this sat are we going for the intro pilates only? Or the kickboxing too?,0
get ready to moan and scream emoji,0
