WomenEduc,WomenExp,WomenAge,childl6,WHRS
12,14,32,1,1610
12,5,30,0,1656
12,15,35,1,1980
12,6,34,0,456
14,7,31,1,1568
12,33,54,0,2032
16,11,37,0,1440
12,35,54,0,1020
12,24,48,0,1458
12,21,39,0,1600
12,15,33,0,1969
11,14,42,0,1960
12,0,30,1,240
12,14,43,0,997
10,6,43,0,1848
11,9,35,0,1224
12,20,43,0,1400
12,6,39,0,640
12,23,45,0,2000
12,9,35,0,1324
16,5,42,0,2215
12,11,30,0,1680
13,18,48,0,1600
12,15,45,0,800
12,4,31,1,1955
17,21,43,0,660
12,31,59,0,525
12,9,32,0,1904
17,7,31,1,1516
12,7,42,0,346
11,32,50,0,1040
16,11,59,0,732
13,16,36,0,1880
12,14,51,0,1680
16,27,45,0,2081
11,0,42,0,690
12,17,46,0,4210
10,28,46,0,2205
14,24,51,0,1952
17,11,30,0,1302
12,1,30,1,112
12,14,57,0,893
16,6,31,1,583
12,10,48,0,480
12,6,30,0,1900
12,4,34,0,576
16,10,48,0,2056
12,22,45,0,1984
12,16,51,0,2640
12,6,30,0,240
12,12,46,0,1173
12,32,58,0,3640
12,15,37,0,340
8,17,52,0,500
10,34,52,0,1599
16,9,31,0,1830
14,37,55,0,1920
17,10,34,0,2052
14,35,55,0,2312
12,6,39,0,196
14,19,40,0,2500
12,10,43,0,1980
8,11,48,0,1840
12,15,47,0,320
12,12,41,0,419
8,12,36,0,1880
17,14,46,0,72
12,11,34,0,120
12,9,41,0,1885
12,24,51,0,240
12,12,33,0,1729
12,13,52,0,1850
9,29,58,0,2033
10,11,34,2,608
12,13,31,0,1153
12,19,48,0,2208
12,2,32,0,252
17,24,49,0,337
15,9,32,2,90
12,6,58,0,1174
6,22,50,0,372
14,30,60,0,30
12,10,50,0,1800
14,6,56,0,282
9,29,51,0,720
17,29,54,0,1440
13,36,59,0,2100
9,19,46,0,1000
15,8,46,0,952
12,13,39,1,1413
12,16,44,0,2100
12,11,33,2,120
12,15,33,1,3000
12,6,48,0,1000
12,13,31,0,336
12,22,45,0,1216
12,24,45,0,988
13,2,32,0,2581
12,6,47,0,2030
13,2,34,0,413
12,2,37,0,782
12,14,36,0,1388
12,9,47,1,1450
