Public Opinion,Past Use,Religion,Sex,Age,Education,Race,Income,Party Affiliation,Household Size,State,Eventually Legalized
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,40,HS,White,"50 to under $75,000",No preference (VOL.),4,Pennsylvania,"No, it will not"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,70,HS,White,"20 to under $30,000",Independent,2,Georgia,"Yes, it will"
notlegal,No,Nothing in particular,Female,47,HS,White,"10 to under $20,000",Democrat,1,Minnesota,"No, it will not"
medicinal,No,Roman Catholic (Catholic),Female,84,Some College,White,"30 to under $40,000",Independent,2,Indiana,"Yes, it will"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,73,HS,White,"Less than $10,000",Democrat,1,Illinois,"Yes, it will"
notlegal,No,Roman Catholic (Catholic),Female,65,Postgraduate Degree,White,"$150,000 or more",Republican,2,South Dakota,"No, it will not"
notlegal,Yes,Agnostic (not sure if there is a God),Male,18,Some College,White,"100 to under $150,000",Independent,1,Ohio,"Yes, it will"
personal,Yes,Nothing in particular,Female,52,HS,White,"50 to under $75,000",Democrat,2,Maine,"Yes, it will"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,81,Some College,White,"20 to under $30,000",Independent,1,Wisconsin,"Yes, it will"
personal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,47,Postgraduate Degree,White,"$150,000 or more",Independent,4,New Jersey,"Yes, it will"
medicinal,No,Roman Catholic (Catholic),Female,69,Associate Degree,White,"10 to under $20,000",Independent,1,Michigan,"Yes, it will"
personal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,19,HS Incomplete,White,"20 to under $30,000",Republican,4,South Carolina,"Yes, it will"
notlegal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,77,Some College,White,"30 to under $40,000",Democrat,1,Arkansas,"Yes, it will"
medicinal,Yes,Nothing in particular,Male,70,HS,Black or African-American,"40 to under $50,000",Democrat,2,Illinois,"Yes, it will"
notlegal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,87,HS,White,"10 to under $20,000",Democrat,1,Kansas,"Yes, it will"
notlegal,No,Roman Catholic (Catholic),Male,78,Some College,White,"30 to under $40,000",Independent,4,Illinois,"No, it will not"
personal,Yes,Nothing in particular,Female,20,HS,White,"Less than $10,000",Republican,4,Michigan,"Yes, it will"
