pirat,hirat,lvrat,unemp,chist,mhist,phist,selfemp,insurance,condomin,afam,single,hschool,deny
0.221000004,0.221000004,0.8,3.900000095,5,2,no,no,no,no,no,no,yes,no
0.265,0.265,0.921875,3.200000048,2,2,no,no,no,no,no,yes,yes,no
0.372000008,0.247999992,0.92039801,3.200000048,1,2,no,no,no,no,no,no,yes,no
0.32,0.25,0.860465116,4.300000191,1,2,no,no,no,no,no,no,yes,no
0.36,0.35,0.6,3.200000048,1,1,no,no,no,no,no,no,yes,no
0.24,0.17,0.510526316,3.900000095,1,1,no,no,no,no,no,no,yes,no
0.35,0.29,0.746666667,3.900000095,1,2,no,no,no,yes,no,yes,yes,no
0.28,0.22,0.85,1.799999952,2,2,no,no,no,no,no,no,yes,no
0.31,0.24,0.897260274,3.099999905,2,2,no,no,yes,no,no,no,yes,yes
0.18,0.17,0.358744395,3.900000095,2,1,no,no,no,no,no,yes,yes,no
0.28,0.27,0.223880597,3.099999905,1,2,no,no,no,yes,no,yes,yes,no
0.31,0.3,0.688888889,4.300000191,1,2,no,no,no,no,no,yes,yes,no
0.28,0.27,0.537634409,4.300000191,1,2,no,no,yes,no,no,no,yes,yes
0.36,0.34,0.649438202,10.60000038,1,1,no,no,no,no,no,no,yes,no
0.18,0.15,0.3625,3.200000048,1,1,no,no,no,no,no,no,yes,no
0.36,0.27,0.833333333,3.200000048,2,1,no,no,no,no,no,no,yes,no
0.23,0.22,0.642857143,3.200000048,1,1,no,no,no,no,no,no,yes,no
0.32,0.27,0.4375,3.200000048,2,1,no,no,no,no,no,no,yes,no
0.31,0.29,0.794444444,4.300000191,2,2,no,no,no,no,no,no,yes,no
0.37,0.28,0.8,3.099999905,2,2,no,no,no,no,no,yes,yes,no
0.37,0.22,0.896341463,3.099999905,6,1,yes,no,yes,no,no,no,yes,yes
0.39,0.31,0.878571429,5.300000191,3,2,no,no,no,no,no,no,yes,no
0.32,0.32,0.772058824,10.60000038,1,2,no,no,no,no,no,yes,yes,no
0.39,0.33,0.901023891,3.200000048,1,2,no,no,no,no,no,no,yes,no
0.33,0.31,0.65437788,3.900000095,1,2,no,no,no,no,no,yes,yes,no
0.28,0.13,0.62962963,3.200000048,1,2,no,no,no,yes,no,yes,yes,no
0.37,0.28,0.894736842,1.799999952,1,2,no,no,no,yes,no,yes,yes,no
0.3,0.25,0.485436893,3.200000048,1,2,no,no,no,no,no,yes,yes,no
0.31,0.29,0.949367089,3.900000095,1,2,no,no,no,no,no,no,yes,no
0.26,0.21,0.891089109,1.799999952,1,2,no,no,no,no,yes,yes,yes,no
0.36,0.29,0.863309353,4.300000191,1,2,no,no,no,no,no,yes,yes,no
0.37,0.2,0.714285714,4.300000191,5,1,no,no,no,no,no,no,yes,no
0.35,0.26,0.751219512,3.599999905,3,2,no,no,no,no,no,yes,yes,no
0.37,0.26,0.90212766,2,1,2,no,no,no,no,no,yes,yes,no
0.34,0.28,0.847058824,4.300000191,1,2,no,no,no,no,no,no,yes,no
0.38,0.28,0.473684211,3.900000095,1,2,no,no,no,yes,no,no,yes,no
0.44,0.31,0.687969925,3.099999905,1,1,no,no,no,no,no,no,yes,no
0.35,0.22,0.897810219,4.300000191,2,1,no,no,no,no,yes,no,yes,no
0.38,0.28,0.880851064,3.099999905,1,2,no,no,no,no,no,no,yes,no
0.37,0.34,0.919753086,3.099999905,1,2,no,no,no,no,no,yes,yes,no
0.37,0.28,0.936363636,3.900000095,1,2,no,no,no,no,no,no,yes,no
0.41,0.1,0.642857143,2,1,1,no,no,no,yes,no,no,yes,no
0.35,0.34,1.47826087,3.200000048,1,2,no,no,yes,no,no,no,yes,yes
0.41,0.3,0.72,3.200000048,3,4,no,no,no,no,no,no,yes,yes
0.34,0.28,0.677966102,3.099999905,6,2,yes,no,no,no,no,yes,yes,no
0.29,0.19,0.9,3.200000048,2,2,no,no,no,no,no,no,yes,no
0.27,0.26,0.8,3.200000048,6,2,yes,no,no,no,no,no,yes,yes
0.37,0.27,0.853846154,3.200000048,1,2,no,no,no,no,yes,yes,yes,no
0.34,0.3,0.741935484,3.900000095,1,2,no,yes,no,no,no,no,yes,yes
0.36,0.15,0.675675676,3.099999905,2,1,no,no,no,no,no,yes,yes,no
0.34,0.32,0.643678161,3.200000048,5,3,no,no,no,no,no,yes,yes,no
0.27,0.21,0.941176471,2,1,2,no,no,no,no,no,no,yes,no
0.16,0.08,0.732484076,3.200000048,1,1,no,no,no,no,no,yes,yes,no
0.39,0.28,0.913580247,3.099999905,1,2,no,no,no,no,no,yes,yes,no
0.36,0.26,0.207142857,3.200000048,5,2,no,no,no,no,no,no,yes,no
0.313999996,0.265,0.93442623,3.200000048,1,2,yes,no,no,no,no,no,yes,no
0.34,0.28,0.903448276,3.900000095,1,2,yes,no,no,no,no,no,yes,no
0.332000008,0.281000004,0.902439024,10.60000038,2,2,no,no,no,no,no,yes,yes,no
0.33,0.33,0.636942675,4.300000191,1,1,no,yes,no,no,no,yes,yes,no
0.399000015,0.272000008,0.769230769,10.60000038,1,2,no,no,no,yes,no,yes,yes,no
0.342000008,0.322000008,0.75,3.200000048,1,2,no,no,no,no,no,no,yes,no
0.375999985,0.277999992,0.8,3.200000048,2,1,no,no,no,yes,no,yes,yes,no
0.320999985,0.251000004,0.888888889,4.300000191,1,2,no,no,no,yes,no,no,yes,no
0.278999996,0.207999992,0.751879699,5.300000191,1,2,no,no,no,no,no,no,yes,no
0.317000008,0.246000004,0.894039735,3.200000048,2,2,no,no,no,no,no,no,yes,no
0.285,0.26,0.65,3.900000095,1,2,no,yes,no,no,yes,no,yes,no
0.365,0.24,0.940397351,3.099999905,2,2,no,no,no,no,no,no,yes,no
0.337000008,0.313999996,0.425531915,3.200000048,4,1,no,no,no,no,no,no,yes,no
0.35,0.27,0.678571429,3.200000048,1,1,no,no,no,yes,no,yes,yes,no
0.352000008,0.288999996,0.884615385,3.200000048,2,2,no,no,no,yes,no,yes,yes,no
0.35,0.28,0.939189189,3.200000048,1,1,no,no,no,no,no,no,yes,no
0.344000015,0.251000004,0.902439024,3.099999905,1,2,no,no,no,no,no,no,yes,no
0.28,0.28,0.738255034,3.200000048,1,2,no,no,no,no,no,yes,yes,no
0.377999992,0.225,0.899470899,4.300000191,2,2,no,no,no,no,no,no,yes,no
0.257999992,0.193999996,0.677966102,5.300000191,2,2,no,no,no,no,no,no,yes,no
0.217999992,0.081999998,0.802197802,10.60000038,2,1,no,yes,no,no,no,no,yes,no
0.23,0.17,0.553072626,3.099999905,1,1,no,no,no,no,no,no,yes,no
0.285,0.285,0.651567944,3.200000048,1,2,no,no,no,no,no,no,yes,no
0.265,0.265,0.835164835,4.300000191,2,2,yes,no,yes,no,no,no,yes,yes
0.36,0.24,0.784313725,5.300000191,1,4,no,no,no,yes,no,yes,yes,no
0.272000008,0.27,0.666666667,2,1,1,no,no,no,no,no,no,yes,no
0.36,0.22,0.801136364,3.200000048,2,1,no,yes,no,yes,no,yes,yes,no
0.31,0.31,0.882352941,3.200000048,4,2,no,no,no,no,yes,no,yes,yes
0.359000015,0.288999996,0.902985075,4.300000191,2,2,no,no,no,no,no,yes,yes,yes
0.397000008,0.243999996,0.660377358,3.200000048,2,1,no,no,no,no,no,no,yes,no
0.34,0.26,0.746753247,10.60000038,2,1,no,yes,no,no,no,no,yes,no
0.218999996,0.212999992,0.767676768,4.300000191,2,2,no,no,no,no,yes,no,yes,yes
0.32,0.32,0.85,4.300000191,1,2,no,no,no,no,no,yes,yes,no
0.32,0.24,0.948148148,4.300000191,1,2,no,no,no,no,no,no,yes,no
0.28,0.28,0.434782609,2,1,2,no,no,no,no,no,yes,yes,no
0.387999992,0.32,0.888111888,2,3,2,no,no,no,no,yes,no,yes,yes
0.25,0.18,0.782608696,3.200000048,1,2,no,no,no,yes,no,yes,yes,no
0.34,0.25,0.8,10.60000038,1,1,no,no,no,no,no,no,yes,no
0.32,0.22,0.730593607,3.200000048,2,2,no,no,no,no,no,yes,yes,no
0.312000008,0.256000004,0.792207792,1.799999952,1,2,no,yes,no,no,no,no,yes,no
0.33,0.31,0.580246914,4.300000191,1,2,no,no,no,yes,no,yes,yes,no
0.32,0.31,0.636363636,3.200000048,2,2,no,no,no,no,no,no,yes,no
0.38,0.3,0.876470588,10.60000038,2,1,no,no,no,no,no,no,yes,no
0.32,0.2,0.796992481,2,1,2,no,no,no,no,no,no,yes,no
0.23,0.22,0.922222222,4.300000191,1,2,no,no,no,no,no,no,yes,no
0.27,0.27,0.751269036,4.300000191,2,2,no,no,no,no,no,no,yes,no
0.313999996,0.313999996,0.666666667,1.799999952,5,1,no,no,no,no,no,yes,yes,no
0.35,0.23,0.851851852,3.900000095,3,2,no,no,no,no,no,yes,yes,no
0.32,0.27,0.743362832,3.200000048,2,2,no,yes,no,no,no,yes,yes,no
0.357999992,0.101999998,0.8,3.900000095,1,1,no,no,no,no,no,no,yes,no
0.35,0.33,0.9296875,3.900000095,1,2,no,no,yes,no,no,yes,yes,yes
0.34,0.24,0.922535211,3.099999905,3,2,no,no,no,no,no,no,yes,no
0.31,0.22,0.8,10.60000038,2,2,no,yes,no,no,no,yes,yes,no
0.29,0.21,0.703225806,3.099999905,3,3,no,no,no,no,no,no,yes,no
0.61,0.39,0.555555556,10.60000038,1,2,no,no,no,no,no,no,yes,yes
0.262999992,0.226000004,0.625407166,3.200000048,1,1,no,no,no,no,no,no,yes,no
0.262000008,0.257999992,0.687022901,4.300000191,2,2,no,no,no,no,no,yes,yes,no
0.36,0.288999996,0.7875,3.200000048,1,2,no,no,no,no,no,no,yes,no
0.46,0.31,1.105555556,4.300000191,2,1,no,yes,no,no,no,yes,yes,yes
0.305,0.217999992,0.666666667,3.200000048,1,2,no,no,no,no,no,no,yes,no
0.384000015,0.28,0.506666667,3.900000095,2,2,no,no,no,no,no,yes,yes,no
0.263999996,0.215,0.78817734,10.60000038,1,2,no,yes,no,no,no,no,yes,no
0.33,0.308999996,0.302325581,3.200000048,1,1,no,no,no,no,no,no,yes,no
0.47,0.31,0.89261745,3.200000048,3,2,no,yes,no,no,yes,yes,yes,yes
0.19,0.18,0.738888889,1.799999952,1,2,no,no,no,no,no,no,yes,no
0.3,0.3,0.894736842,4.300000191,4,2,no,no,no,no,no,yes,yes,no
0.36,0.26,0.738636364,3.900000095,1,1,no,no,no,no,no,no,yes,no
0.33,0.26,0.7,3.900000095,1,2,no,no,no,no,no,yes,yes,no
0.23,0.23,0.736842105,3.099999905,1,2,no,no,no,yes,no,yes,yes,no
0.41,0.34,0.8,3.200000048,3,1,no,no,no,no,no,no,yes,no
0.36,0.3,0.950617284,1.799999952,2,2,no,no,no,no,no,no,yes,no
0.41,0.33,0.694594595,1.799999952,1,2,no,no,no,no,no,no,yes,yes
0.33,0.33,0.681818182,5.300000191,1,2,no,no,no,no,no,no,yes,no
0.29,0.29,0.571428571,1.799999952,6,2,yes,no,no,yes,no,yes,yes,yes
0.41,0.28,0.786786787,3.099999905,1,1,no,no,no,no,no,no,yes,no
0.33,0.28,0.89787234,3.599999905,1,2,no,no,no,no,no,no,yes,no
0.23,0.19,0.889175258,3.200000048,1,1,no,no,no,no,no,no,yes,no
0.39,0.34,0.717037037,3.200000048,1,1,no,yes,no,no,no,no,yes,no
0.39,0.15,0.798469388,3.200000048,5,1,no,yes,no,no,no,no,yes,no
0.27,0.24,0.8,3.200000048,1,1,no,no,no,no,no,no,yes,no
0.384000015,0.141999998,0.8,4.300000191,1,1,no,yes,no,yes,no,yes,yes,no
0.382000008,0.277000008,0.804123711,3.900000095,6,2,no,no,no,yes,yes,yes,yes,no
0.37,0.261000004,0.581300813,3.200000048,1,2,no,no,no,no,no,no,yes,no
0.325,0.322999992,0.781914894,3.200000048,4,2,no,no,no,yes,no,yes,yes,no
0.397999992,0.357999992,0.642857143,3.200000048,1,1,no,no,no,no,no,yes,yes,no
0.395,0.306000004,0.8,3.200000048,2,2,no,no,no,yes,no,yes,yes,no
0.407000008,0.337000008,0.74893617,3.200000048,1,2,no,no,no,yes,no,yes,yes,no
0.301000004,0.198999996,0.779069767,1.799999952,1,2,no,no,no,yes,no,yes,yes,no
0.365,0.317999992,0.9,3.200000048,1,2,no,no,no,no,no,yes,yes,no
0.266000004,0.257000008,0.797752809,3.200000048,1,2,no,no,no,yes,no,yes,yes,no
0.267999992,0.242000008,0.894736842,3.200000048,1,2,no,no,no,yes,no,no,yes,no
0.268999996,0.226000004,0.798780488,3.900000095,1,2,no,no,no,yes,no,no,yes,no
0.409000015,0.315,0.887850467,3.200000048,6,2,no,no,no,no,yes,yes,yes,no
0.307999992,0.28,0.581395349,3.200000048,6,2,no,no,no,no,no,no,yes,no
0.311000004,0.311000004,0.666666667,3.200000048,5,2,no,no,no,yes,no,yes,yes,no
0.36,0.3,0.862745098,1.799999952,1,2,no,no,no,yes,yes,no,yes,no
0.39,0.31,0.813333333,3.200000048,2,2,no,no,no,no,no,no,yes,no
0.32,0.32,0.732307692,3.200000048,1,2,no,no,no,no,no,no,yes,no
0.18,0.16,0.314814815,5.300000191,1,2,no,no,no,no,no,no,yes,no
0.34,0.27,0.379807692,1.799999952,6,2,no,no,no,no,no,no,yes,no
0.327999992,0.327999992,0.868965517,3.099999905,1,2,no,no,no,yes,yes,yes,yes,no
0.383800011,0.289400005,0.987951807,3.200000048,6,2,no,no,no,yes,yes,yes,yes,yes
