childl6,childg6,age,huswage,WHRS
1,0,32,4.0288,1610
0,2,30,8.4416,1656
1,3,35,3.5807,1980
0,3,34,3.5417,456
1,2,31,10,1568
0,0,54,6.7106,2032
0,2,37,3.4277,1440
0,0,54,2.5485,1020
0,2,48,4.2206,1458
0,2,39,5.7143,1600
0,1,33,9.7959,1969
0,1,42,8,1960
1,2,30,5.3004,240
0,2,43,4.3413,997
0,1,43,10.87,1848
0,3,35,9.1499,1224
0,2,43,6.1224,1400
0,5,39,6.1498,640
0,0,45,6.917,2000
0,4,35,4.7103,1324
0,2,42,3.131,2215
0,0,30,4,1680
0,0,48,7.2227,1600
0,0,45,7.9652,800
1,1,31,4.0884,1955
0,2,43,14.181,660
0,0,59,6.5359,525
0,3,32,8.5,1904
1,0,31,6.2762,1516
0,0,42,5.2083,346
0,0,50,2.7821,1040
0,0,59,4.9107,732
0,2,36,5.8669,1880
0,1,51,7.52,1680
0,3,45,7.5449,2081
0,1,42,5.538,690
0,0,46,6.9231,4210
0,1,46,5,2205
0,0,51,7.3064,1952
0,0,30,11.218,1302
1,2,30,3.8462,112
0,0,57,5.8366,893
1,2,31,13.725,583
0,2,48,6.3493,480
0,3,30,5.2528,1900
0,2,34,1.3075,576
0,2,48,2.7998,2056
0,0,45,2.6961,1984
0,0,51,7.5688,2640
0,2,30,3.4077,240
0,1,46,6.5401,1173
0,0,58,7.2139,3640
0,8,37,6.2732,340
0,0,52,5.8824,500
0,0,52,3.8095,1599
0,0,31,6.3776,1830
0,0,55,6.0453,1920
0,0,34,8.8119,2052
0,0,55,8.8765,2312
0,2,39,3.342,196
0,3,40,3.1836,2500
0,4,43,6.9149,1980
0,0,48,5.5147,1840
0,0,47,5.2808,320
0,4,41,3.2,419
0,0,36,5.8791,1880
0,2,46,6.25,72
0,0,34,7.4879,120
0,3,41,6.9767,1885
0,1,51,8,240
0,0,33,4.1319,1729
0,0,52,14.476,1850
0,0,58,5.7343,2033
2,4,34,3.3742,608
0,1,31,1.8333,1153
0,1,48,5.6025,2208
0,2,32,4.2975,252
0,0,49,3.9161,337
2,2,32,4.8787,90
0,0,58,9.2402,1174
0,0,50,6.6519,372
0,0,60,4.6217,30
0,1,50,9.9741,1800
0,0,56,20.918,282
0,0,51,1.94,720
0,1,54,8.8351,1440
0,0,59,4.6667,2100
0,2,46,5.1894,1000
0,1,46,18.724,952
1,3,39,10.417,1413
0,2,44,8.8458,2100
2,0,33,7.569,120
1,2,33,4.4507,3000
0,2,48,9.3204,1000
0,4,31,9.1687,336
0,1,45,6.4834,1216
0,1,45,7.8125,988
0,2,32,11.404,2581
0,0,47,5.087,2030
0,2,34,6.9758,413
0,1,37,5.2863,782
0,1,36,11.562,1388
1,2,47,8.6061,1450
0,1,48,12.805,1720
0,2,42,6.6946,800
0,3,33,8.3333,360
0,0,46,4.1667,2000
0,3,47,5.4759,1176
0,1,44,5.144,2058
0,4,36,11.667,900
2,0,31,7.2917,215
0,0,55,4.8611,2000
0,1,45,12.164,757
0,0,47,10.823,1264
0,3,46,12.478,2064
0,0,49,6.162,1280
0,0,49,7.1846,1715
0,2,45,7.093,2000
1,3,38,17.826,12
0,0,47,6.393,1528
0,3,54,11.719,561
0,0,41,4.7883,2058
0,2,43,4.2328,1823
1,1,31,7.1066,1680
0,0,47,8.3333,1440
0,2,35,6.9888,4950
0,3,45,9.5913,1176
1,0,33,6.0204,1100
0,1,54,2.9686,1516
0,4,35,7,900
1,2,31,7.1627,1080
0,0,55,4.7364,480
0,2,34,8.781,288
0,1,38,9.8315,1875
0,1,45,6.6496,630
0,1,47,9.8485,234
0,2,39,9.8039,1600
1,0,36,8.2604,960
1,2,33,9.0676,120
0,0,50,8.5082,2025
0,0,58,7.1565,1809
0,0,49,7.0423,3087
